ref no,name,url
DL09011488,Tomb,builtDetail.do?refId=11488&state=07
DL09011359,Tomb,builtDetail.do?refId=11359&state=07
DL09011429,Tomb,builtDetail.do?refId=11429&state=07
DL09011536,Mosque,builtDetail.do?refId=11536&state=07
DL05012498,Nursery Mosque,builtDetail.do?refId=12498&state=07
DL09011517,Turret,builtDetail.do?refId=11517&state=07
DL05012082,Karbala ground ,builtDetail.do?refId=12082&state=07
DL05011717,Karbala,builtDetail.do?refId=11717&state=07
DL05011903,Tomb of Maha Khanam ,builtDetail.do?refId=11903&state=07
DL05011899,Tomb of Arif Ali Shah ,builtDetail.do?refId=11899&state=07
DL09011356,Qanati Masjid,builtDetail.do?refId=11356&state=07
DL05011902,Gateway,builtDetail.do?refId=11902&state=07
DL05011608,Gateway,builtDetail.do?refId=11608&state=07
DL05011958,Bibi ka Roza ,builtDetail.do?refId=11958&state=07
DL09011477,Bibi ka Rauza,builtDetail.do?refId=11477&state=07
DL05011901,"Gateway western, adjacent to Majlis khana ",builtDetail.do?refId=11901&state=07
DL09011499,Gateway,builtDetail.do?refId=11499&state=07
DL05011398,Gateway,builtDetail.do?refId=11398&state=07
DL05011420,Qadam Sharif,builtDetail.do?refId=11420&state=07
DL05011908,Lal Masjid,builtDetail.do?refId=11908&state=07
DL05011506,Lal Masjid,builtDetail.do?refId=11506&state=07
DL05011923,Telegraph Office,builtDetail.do?refId=11923&state=07
DL05011907,Mosque,builtDetail.do?refId=11907&state=07
DL05011351,Mosque,builtDetail.do?refId=11351&state=07
DL05011910,Gateway  Northern gateway ,builtDetail.do?refId=11910&state=07
DL05011479,Gateway,builtDetail.do?refId=11479&state=07
DL05011909,Well,builtDetail.do?refId=11909&state=07
DL05012109,Pedestrian Bridge,builtDetail.do?refId=12109&state=07
DL05012193,Mosque,builtDetail.do?refId=12193&state=07
DL05012124,Mosque,builtDetail.do?refId=12124&state=07
